"","Genus","Species"
"Otu0200","Pseudomonas","antarctica/auricularis/azotoformans/brenneri/canadensis/cedrina/cerasi/cf./costantinii/extremaustralis/extremorientalis/fluorescens/gessardii/grimontii/lactis/libanensis/lurida/mandelii/marginalis/meridiana/paralactis/poae/proteolytica/putida/reactans/salomonii/simiae/syncyanea/synxantha/tolaasii/trivialis/veronii"
"Otu0201",NA,NA
"Otu0202",NA,NA
"Otu0203",NA,NA
"Otu0204",NA,NA
"Otu0207",NA,NA
"Otu0208",NA,NA
"Otu0210",NA,NA
"Otu0211",NA,NA
"Otu0212",NA,NA
"Otu0213",NA,NA
"Otu0215",NA,NA
"Otu0216",NA,NA
"Otu0217",NA,NA
"Otu0218",NA,NA
"Otu0219",NA,"atlantica/mobilis/scottomollicae/stellata"
"Otu0220",NA,"aspalathi/bryophila/caffeinilytica/caledonica/fungorum/insulsa/phenazinium/phytofirmans/rhynchosiae/sediminicola/symbiont/terricola"
"Otu0221",NA,"halocynthiae/italica"
"Otu0222",NA,NA
"Otu0224",NA,NA
"Otu0225",NA,NA
"Otu0226",NA,NA
"Otu0227",NA,NA
"Otu0228",NA,NA
"Otu0229",NA,NA
"Otu0230",NA,NA
"Otu0231",NA,NA
"Otu0233",NA,NA
"Otu0234","Neptuniibacter","caesariensis"
"Otu0235",NA,NA
"Otu0236",NA,NA
"Otu0237",NA,NA
"Otu0238",NA,NA
"Otu0239","Bosea","eneae/lathyri/massiliensis/thiooxidans/vaviloviae/vestrisii"
"Otu0240",NA,NA
"Otu0241",NA,NA
"Otu0242",NA,NA
"Otu0244",NA,NA
"Otu0246",NA,NA
"Otu0247",NA,NA
"Otu0248",NA,NA
"Otu0249",NA,NA
"Otu0250",NA,NA
"Otu0252",NA,NA
"Otu0253","Sphingomonas","alpina/echinoides/mali/oligophenolica/panacis/rhizogenes/sanxanigenens"
"Otu0255",NA,NA
"Otu0256",NA,NA
"Otu0257",NA,NA
"Otu0258",NA,NA
"Otu0259",NA,NA
"Otu0260",NA,NA
"Otu0261",NA,NA
"Otu0263",NA,NA
"Otu0264",NA,NA
"Otu0265",NA,NA
"Otu0266","Micrococcus","alkanovora/aloeverae/antarcticus/cohnii/endophyticus/flavus/indicus/luteus/lylae/thailandicus/yunnanensis"
"Otu0267","Propionigenium","maris"
"Otu0268",NA,NA
"Otu0269",NA,NA
"Otu0271",NA,NA
"Otu0272","Salinicoccus","alkaliphilus/kunmingensis/qingdaonensis/roseus/salitudinis"
"Otu0273",NA,NA
"Otu0274","Mesonia","mobilis"
"Otu0275",NA,NA
"Otu0276","Pustulibacterium","marinum"
"Otu0277","Streptococcus","equinus/gallolyticus/infantarius/lutetiensis"
"Otu0278",NA,NA
"Otu0279",NA,NA
"Otu0280",NA,"americanum/arachidis/betae/broomeae/canariense/centrosemae/daqingense/denitrificans/diazoefficiens/elkanii/embrapense/erythrophlei/ferriligni/group/guangxiense/huanghuaihaiense/icense/ingae/iriomotense/japonicum/jicamae/lablabi/liaoningense/lupini/neotropicale/oligotrophicum/ottawaense/pachyrhizi/paxllaeri/retamae/stylosanthis/tropiciagri/valentinum/viridifuturi/yuanmingense"
"Otu0281",NA,NA
"Otu0282",NA,NA
"Otu0283","Bacillus","circulans/massiliosenegalensis"
"Otu0284","Enhydrobacter","aerosaccus"
"Otu0285","Marinomonas","communis/ostreistagni"
"Otu0286",NA,NA
"Otu0287",NA,NA
"Otu0289",NA,NA
"Otu0290",NA,NA
"Otu0291","Brevundimonas","diminuta/naejangsanensis/vancanneytii"
"Otu0292",NA,NA
"Otu0293",NA,NA
"Otu0294",NA,NA
"Otu0295",NA,NA
"Otu0296",NA,NA
"Otu0298",NA,NA
"Otu0299",NA,NA
"Otu0301",NA,NA
"Otu0302",NA,NA
"Otu0303",NA,NA
"Otu0304",NA,NA
"Otu0305",NA,NA
"Otu0306",NA,NA
"Otu0307",NA,NA
"Otu0308",NA,NA
"Otu0310",NA,NA
"Otu0312",NA,NA
"Otu0313",NA,NA
"Otu0314",NA,NA
"Otu0316",NA,NA
"Otu0317",NA,NA
"Otu0320",NA,NA
"Otu0321",NA,NA
"Otu0322",NA,NA
"Otu0323","Finegoldia","magna"
"Otu0324",NA,NA
"Otu0325","Trichodesmium","hildebrandtii/thiebautii"
"Otu0326",NA,NA
"Otu0327",NA,NA
"Otu0328",NA,NA
"Otu0329",NA,NA
"Otu0330",NA,NA
"Otu0331",NA,NA
"Otu0332",NA,NA
"Otu0333",NA,NA
"Otu0335",NA,NA
"Otu0336",NA,NA
"Otu0337",NA,NA
"Otu0338","Modestobacter","caceresii/marinus/multiseptatus/versicolor"
"Otu0339",NA,NA
"Otu0340",NA,"aerilata/alkaliphila/gwakjiensis"
"Otu0341","Massilia","arvi/pinisoli/putida"
"Otu0343",NA,NA
"Otu0344",NA,NA
"Otu0345",NA,NA
"Otu0348",NA,NA
"Otu0349",NA,NA
"Otu0350",NA,NA
"Otu0351",NA,NA
"Otu0355","Shimia","isoporae/marina"
"Otu0356",NA,NA
"Otu0357",NA,NA
"Otu0358","Anaerococcus","octavius"
"Otu0359",NA,NA
"Otu0360",NA,NA
"Otu0361",NA,NA
"Otu0362",NA,NA
"Otu0363",NA,NA
"Otu0364",NA,NA
"Otu0365",NA,NA
"Otu0366","Aureicoccus","marinus"
"Otu0367",NA,NA
"Otu0368",NA,NA
"Otu0369",NA,NA
"Otu0370",NA,NA
"Otu0371",NA,NA
"Otu0372","Herbaspirillum","aquaticum/chlorophenolicum/frisingense/huttiense/rubrisubalbicans/seropedicae"
"Otu0373",NA,NA
"Otu0375","Lactobacillus","acidophilus/casei/crispatus/gallinarum/helveticus/kitasatonis"
"Otu0376",NA,NA
"Otu0377",NA,NA
"Otu0379",NA,NA
"Otu0380",NA,NA
"Otu0382",NA,NA
"Otu0383",NA,NA
"Otu0385",NA,NA
"Otu0386",NA,NA
"Otu0387",NA,NA
"Otu0388",NA,NA
"Otu0389",NA,NA
"Otu0392",NA,NA
"Otu0393",NA,NA
"Otu0394",NA,NA
"Otu0395",NA,NA
"Otu0398","Corynebacterium","suicordis"
"Otu0399",NA,NA
"Otu0400","Acinetobacter","idrijaensis/lwoffii"
"Otu0401",NA,NA
"Otu0402",NA,NA
"Otu0403",NA,NA
"Otu0404",NA,NA
"Otu0405",NA,NA
"Otu0406",NA,NA
"Otu0413",NA,NA
"Otu0415","Leeuwenhoekiella","blandensis/palythoae"
