"","tube.id","sample_name","type","duplicates","species","genet.ID","Away.nursery","Home.nursery"
"172","231","Acer231","sample","","Acer","Acer089","CRF","CRF"
"173","232","Acer232","sample","dup","Acer","Acer120","CRF","CRF"
"174","232","Acer232","sample","dup","Acer","YungsA","CRF","UM"
"175","232","Acer232R","sample","","Acer","Acer120","CRF","CRF"
"176","232","Acer232R","sample","","Acer","YungsA","CRF","UM"
"177","233","Acer233","sample","","Acer","ML76","CRF","Mote"
"178","234","Acer234R","sample","","Acer","5a","CRF","NSU"
"179","234","Acer234R","sample","","Acer","ML80","CRF","Mote"
"180","234","Acer234","sample","dup","Acer","5a","CRF","NSU"
"181","234","Acer234","sample","dup","Acer","ML80","CRF","Mote"
"182","235","Acer235","sample","dup","Acer","TDT1","CRF","FWC"
"183","235","Acer235","sample","dup","Acer","8a","CRF","NSU"
"184","235","Acer235R","sample","","Acer","TDT1","CRF","FWC"
"185","235","Acer235R","sample","","Acer","8a","CRF","NSU"
"186","236","Acer236","sample","dup","Acer","StagreefA","CRF","UM"
"187","236","Acer236","sample","dup","Acer","MiamiBeachD","CRF","UM"
"188","236","Acer236R","sample","","Acer","StagreefA","CRF","UM"
"189","236","Acer236R","sample","","Acer","MiamiBeachD","CRF","UM"
"190","237","Acer237","sample","","Acer","Marker9","CRF","UM"
"191","238","Acer238","sample","","Acer","20","CRF","NSU"
"192","239","Acer239","sample","","Acer","Acer097","CRF","CRF"
"193","24","Acer24","sample","","Acer","FM20","FWC","FWC"
"194","240","Acer240","sample","","Acer","ML46","CRF","Mote"
"195","241","Acer241","sample","","Acer","ML10","CRF","Mote"
"196","242","Acer242","sample","","Acer","ML51","CRF","Mote"
"197","243","Acer243","sample","","Acer","SunnyIslesC","CRF","UM"
"198","244","Acer244","sample","","Acer","ML88","CRF","Mote"
"199","245","Acer245","sample","","Acer","Acer060","CRF","CRF"
"200","246","Acer246","sample","","Acer","6a","CRF","NSU"
"201","247","Acer247","sample","","Acer","ML20","CRF","Mote"
"202","248","Acer248","sample","","Acer","4","CRF","NSU"
"203","249","Acer249","sample","","Acer","13","CRF","NSU"
"204","25","Acer25","sample","","Acer","Acer062","FWC","CRF"
"205","250","Acer250","sample","","Acer","8","CRF","NSU"
"206","251","Acer251","sample","","Acer","ML56","CRF","Mote"
"207","252","Acer252","sample","","Acer","7","CRF","NSU"
"208","253","Acer253","sample","","Acer","ML13","CRF","Mote"
"209","254","Acer254","sample","","Acer","Cheetosb","CRF","UM"
"210","255","Acer255","sample","","Acer","YungsA","CRF","UM"
"211","256","Acer256","sample","","Acer","ML58","CRF","Mote"
"212","257","Acer257","sample","","Acer","Acer001","CRF","CRF"
"213","258","Acer258","sample","","Acer","6","CRF","NSU"
"214","259","Acer259","sample","","Acer","ML54","CRF","Mote"
"215","26","Acer26","sample","","Acer","FM13","FWC","FWC"
"216","260","Acer260","sample","","Acer","15","CRF","NSU"
"217","261","Acer261","sample","","Acer","ML79","CRF","Mote"
"218","262","Acer262","sample","","Acer","Acer127","CRF","CRF"
"219","263","Acer263","sample","","Acer","Acer093","CRF","CRF"
"220","264","Acer264","sample","","Acer","Acer061","CRF","CRF"
"221","265","Acer265","sample","","Acer","Acer041","CRF","CRF"
"222","266","Acer266","sample","","Acer","Acer103","CRF","CRF"
"223","267","Acer267","sample","","Acer","3a","CRF","NSU"
"224","268","Acer268","sample","","Acer","ML70","CRF","Mote"
"225","269","Acer269","sample","","Acer","CoopersA","CRF","UM"
"226","27","Acer27","sample","","Acer","FM6","FWC","FWC"
"227","270","Acer270","sample","","Acer","ML8","CRF","Mote"
"228","271","Acer271","sample","","Acer","Thicket3","CRF","UM"
"229","272","Acer272b","sample","dup","Acer","ML4","CRF","Mote"
"230","272","Acer272","sample","dup","Acer","ML4","CRF","Mote"
"231","273","Acer273","sample","","Acer","ML36","CRF","Mote"
"232","274","Acer274","sample","","Acer","FM19","CRF","Mote"
"233","275","Acer275","sample","","Acer","Acer049","CRF","CRF"
"234","276","Acer276","sample","","Acer","9a","CRF","NSU"
"235","277","Acer277","sample","","Acer","ML77","CRF","Mote"
"236","278","Acer278","sample","","Acer","ML48","CRF","Mote"
"237","279","Acer279","sample","","Acer","Kelseys1","CRF","UM"
"238","28","Acer28","sample","","Acer","Acer046","FWC","CRF"
"239","29","Acer29","sample","","Acer","Acer071","FWC","CRF"
"240","3","Acer3","sample","","Acer","ML77","Mote","Mote"
"241","30","Acer30","sample","","Acer","FM14","FWC","FWC"
"242","31","Acer31","sample","","Acer","ML36","Mote","Mote"
"243","32","Acer32","sample","","Acer","Acer014","FWC","CRF"
"244","33","Acer33","sample","","Acer","Acer071","Mote","CRF"
"245","339","Acer339","sample","","Acer","8a","UM","NSU"
"246","34","Acer34","sample","","Acer","ML48","Mote","Mote"
"247","340","Acer340","sample","","Acer","15","UM","NSU"
"248","341","Acer341","sample","","Acer","CoopersA","UM","UM"
"249","343","Acer343","sample","","Acer","Kelseys1","UM","UM"
"250","345","Acer345","sample","","Acer","4a","UM","NSU"
"251","346","Acer346","sample","","Acer","6a","UM","NSU"
"252","35","Acer35","sample","","Acer","9a","Mote","NSU"
"253","350","Acer350","sample","","Acer","13","UM","NSU"
"254","355","Acer355","sample","","Acer","YungsA","UM","UM"
"255","356","Acer356","sample","","Acer","Acer057","UM","CRF"
"256","357","Acer357","sample","","Acer","SunnyIslesC","UM","UM"
"257","358","Acer358","sample","","Acer","Marker9","UM","UM"
"258","36","Acer36","sample","","Acer","Acer014","Mote","CRF"
"259","362","Acer362","sample","","Acer","2a","UM","NSU"
"260","364","Acer364","sample","","Acer","MiamiBeachD","UM","UM"
"261","365","Acer365","sample","","Acer","Thicket3","UM","UM"
"262","366","Acer366","sample","","Acer","Acer001","UM","CRF"
"263","367","Acer367","sample","","Acer","8","UM","NSU"
"264","369","Acer369","sample","","Acer","4","UM","NSU"
"265","37","Acer37","sample","","Acer","ML41","Mote","Mote"
"266","370","Acer370","sample","","Acer","20","UM","NSU"
"267","372","Acer372","sample","","Acer","14","UM","NSU"
"268","373","Acer373","sample","","Acer","5a","UM","NSU"
"269","38","Acer38","sample","","Acer","Acer120","Mote","CRF"
"270","39","Acer39","sample","","Acer","ML44","Mote","Mote"
"271","395","Acer395","sample","","Acer","ML88","UM","Mote"
"272","398","Acer398","sample","","Acer","ML13","UM","Mote"
"273","4","Acer4","sample","","Acer","Thicket3","Mote","UM"
"274","40","Acer40","sample","","Acer","Acer060","Mote","CRF"
"275","402","Acer402","sample","","Acer","ML10","UM","Mote"
"276","406","Acer406","sample","","Acer","ML20","UM","Mote"
"277","41","Acer41","sample","","Acer","ML58","Mote","Mote"
"278","410","Acer410","sample","","Acer","ML20","CRF","Mote"
"279","413","Acer413","sample","","Acer","Kelseys1","CRF","UM"
"280","414","Acer414","sample","","Acer","Thicket3","CRF","UM"
"281","415","Acer415","sample","","Acer","4a","CRF","NSU"
"282","416","Acer416","sample","","Acer","15","CRF","NSU"
"283","419","Acer419","sample","","Acer","20","CRF","NSU"
"284","42","Acer42","sample","","Acer","1","Mote","NSU"
"285","43","Acer43","sample","","Acer","ML6","Mote","Mote"
"286","44","Acer44","sample","","Acer","Acer127","Mote","CRF"
"287","45","Acer45","sample","","Acer","NorthMidchannelA","Mote","UM"
"288","46","Acer46","sample","","Acer","8","Mote","NSU"
"289","47","Acer47","sample","","Acer","ML75","Mote","Mote"
"290","48","Acer48","sample","","Acer","StagreefA","Mote","UM"
"291","49","Acer49","sample","","Acer","Cheetosb","Mote","UM"
"292","5","Acer5","sample","","Acer","Acerv1","Mote","UM"
"293","50","Acer50","sample","","Acer","ML20","Mote","Mote"
"294","504","Acer504","sample","","Acer","Marker9","CRF","UM"
"295","506","Acer506","sample","","Acer","6a","CRF","NSU"
"296","508","Acer508","sample","","Acer","13","CRF","NSU"
"297","51","Acer51","sample","","Acer","14","Mote","NSU"
"298","513","Acer513","sample","","Acer","ML88","CRF","Mote"
"299","515","Acer515","sample","","Acer","4","CRF","NSU"
"300","52","Acer52","sample","","Acer","ML90","Mote","Mote"
"301","528","Acer528","sample","","Acer","SunnyIslesC","CRF","UM"
"302","53","Acer53","sample","","Acer","ML8","Mote","Mote"
"303","534","Acer534","sample","","Acer","ML88","Mote","Mote"
"304","538","Acer538","sample","","Acer","ML20","Mote","Mote"
"305","54","Acer54","sample","","Acer","Marker9","Mote","UM"
"306","547","Acer547","sample","","Acer","ML10","Mote","Mote"
"307","548","Acer548","sample","","Acer","ML13","Mote","Mote"
"308","55","Acer55","sample","","Acer","ML51","Mote","Mote"
"309","553","Acer553","sample","","Acer","20","Mote","Mote"
"310","554","Acer554","sample","","Acer","15","Mote","Mote"
"311","555","Acer555","sample","","Acer","14","Mote","Mote"
"312","556","Acer556","sample","","Acer","13","Mote","Mote"
"313","557","Acer557","sample","","Acer","8","Mote","Mote"
"314","558","Acer558","sample","","Acer","4","Mote","Mote"
"315","559","Acer559","sample","","Acer","2a","Mote","Mote"
"316","56","Acer56","sample","","Acer","ML55","Mote","Mote"
"317","565","Acer565","sample","","Acer","8a","Mote","Mote"
"318","569","Acer569","sample","","Acer","YungsA","Mote","Mote"
"319","57","Acer57","sample","","Acer","Acer057","Mote","CRF"
"320","572","Acer572","sample","","Acer","6a","Mote","Mote"
"321","575","Acer575","sample","","Acer","5a","Mote","Mote"
"322","576","Acer576","sample","","Acer","4a","Mote","Mote"
"323","58","Acer58","sample","","Acer","ML88","Mote","Mote"
"324","581","Acer581","sample","","Acer","SunnyIslesC","Mote","UM"
"325","584","Acer584","sample","","Acer","Acer001","Mote","Mote"
"326","59","Acer59","sample","","Acer","StephsA","Mote","UM"
"327","590","Acer590","sample","","Acer","Thicket3","Mote","Mote"
"328","591","Acer591","sample","","Acer","CoopersA","Mote","Mote"
"329","594","Acer594","sample","","Acer","MiamiBeachD","Mote","Mote"
"330","595","Acer595","sample","","Acer","Kelseys1","Mote","Mote"
"331","596","Acer596","sample","","Acer","Marker9","Mote","Mote"
"332","6","Acer6","sample","","Acer","Acer089","Mote","CRF"
"333","60","Acer60","sample","","Acer","Acer041","Mote","CRF"
"334","607","Acer607","sample","","Acer","Acer057","Mote","Mote"
"335","61","Acer61","sample","","Acer","MiamiBeachD","Mote","UM"
"336","62","Acer62","sample","","Acer","13","Mote","NSU"
"337","63","Acer63","sample","","Acer","2a","Mote","NSU"
"338","64","Acer64","sample","","Acer","ML13","Mote","Mote"
"339","65","Acer65","sample","","Acer","ML46","Mote","Mote"
"340","66","Acer66","sample","","Acer","Acer001","Mote","CRF"
"341","67","Acer67b","sample","dup","Acer","20","Mote","NSU"
"342","67","Acer67c","sample","dup","Acer","20","Mote","NSU"
"343","67","Acer67","sample","dup","Acer","20","Mote","NSU"
"344","68","Acer68","sample","dup","Acer","Acer103","Mote","CRF"
"345","68","Acer68c","sample","dup","Acer","Acer103","Mote","CRF"
"346","68","Acer68b","sample","","Acer","Acer103","Mote","CRF"
"347","69","Acer69b","sample","dup","Acer","Kelseys1","Mote","UM"
"348","69","Acer69","sample","dup","Acer","Kelseys1","Mote","UM"
"349","7","Acer7","sample","","Acer","ML89","Mote","Mote"
"350","70","Acer70","sample","dup","Acer","Acer061","Mote","CRF"
"351","70","Acer70b","sample","dup","Acer","Acer061","Mote","CRF"
"352","71","Acer71b","sample","dup","Acer","8a","Mote","NSU"
"353","71","Acer71","sample","dup","Acer","8a","Mote","NSU"
"354","72","Acer72","sample","","Acer","ML50","Mote","Mote"
"355","73","Acer73","sample","","Acer","Acer091","Mote","CRF"
"356","74","Acer74b","sample","dup","Acer","15","Mote","NSU"
"357","74","Acer74","sample","dup","Acer","15","Mote","NSU"
"358","75","Acer75","sample","","Acer","ML54","Mote","Mote"
"359","76","Acer76","sample","","Acer","ML31","Mote","Mote"
"360","77","Acer77","sample","","Acer","Elkhorn","Mote","UM"
"361","78","Acer78","sample","","Acer","6a","Mote","NSU"
"362","79","Acer79","sample","","Acer","Acer097","Mote","CRF"
"363","8","Acer8","sample","","Acer","Acer049","Mote","CRF"
"364","80","Acer80","sample","","Acer","ML80","Mote","Mote"
"365","81","Acer81","sample","","Acer","ML1","Mote","Mote"
"366","82","Acer82","sample","","Acer","Acer030","Mote","CRF"
"367","83","Acer83","sample","","Acer","YungsA","Mote","UM"
"368","84","Acer84","sample","","Acer","5a","Mote","NSU"
"369","85","Acer85","sample","","Acer","ML34","Mote","Mote"
"370","86","Acer86","sample","","Acer","ML7","Mote","Mote"
"371","87","Acer87","sample","","Acer","Acer126","Mote","CRF"
"372","88","Acer88","sample","","Acer","ML84","Mote","Mote"
"373","89","Acer89","sample","","Acer","Acer123","Mote","CRF"
"374","9","Acer9","sample","","Acer","Acer117","Mote","CRF"
"375","90","Acer90","sample","","Acer","CoopersA","Mote","UM"
"376","91","Acer91","sample","","Acer","ML57","Mote","Mote"
"377","92","Acer92","sample","","Acer","ML56","Mote","Mote"
"378","93","Acer93","sample","","Acer","4","Mote","NSU"
"379","94","Acer94","sample","","Acer","ML70","Mote","Mote"
"380","95","Acer95","sample","","Acer","ML76","Mote","Mote"
"381","96","Acer96","sample","","Acer","ML4","Mote","Mote"
"382","97","Acer97","sample","","Acer","Acer022","Mote","CRF"
"383","98","Acer98","sample","","Acer","ML79","Mote","Mote"
"384","99","Acer99","sample","","Acer","SunnyIslesC","Mote","UM"
"385","DNAblankP1","AcerDNAblankP1","DNAblank","","Acer",NA,NA,NA
"386","MockP1","AcerMockP1","Mock","","Acer",NA,NA,NA
"387","MOCKP2","AcerMOCKP2","Mock","","Acer",NA,NA,NA
"388","MockP3","AcerMockP3","Mock","","Acer",NA,NA,NA
"389","MOCKP4","AcerMOCKP4","Mock","","Acer",NA,NA,NA
"390","NTCP1a","AcerNTCP1a","NTC","","Acer",NA,NA,NA
"391","NTCP1b","AcerNTCP1b","NTC","","Acer",NA,NA,NA
"392","NTCP2a","AcerNTCP2a","NTC","","Acer",NA,NA,NA
"393","NTCP2b","AcerNTCP2b","NTC","","Acer",NA,NA,NA
"394","NTCP3a","AcerNTCP3a","NTC","","Acer",NA,NA,NA
"395","NTCP3b","AcerNTCP3b","NTC","","Acer",NA,NA,NA
"396","NTCP4a","AcerNTCP4a","NTC","","Acer",NA,NA,NA
