Group,sample_name
Acer232_S261_L001,Acer232
Acer233_S262_L001,Acer233
Acer234R_S310_L001,Acer234R
Acer234_S263_L001,Acer234
Acer235R_S311_L001,Acer235R
Acer235_S264_L001,Acer235
Acer236R_S312_L001,Acer236R
Acer236_S265_L001,Acer236
Acer237_S266_L001,Acer237
Acer238_S267_L001,Acer238
Acer239_S268_L001,Acer239
Acer23_S23_L001,Acer23
Acer240_S269_L001,Acer240
Acer241_S270_L001,Acer241
Acer242_S271_L001,Acer242
Acer243_S272_L001,Acer243
Acer244_S108_L001,Acer244
Acer245_S120_L001,Acer245
Acer246_S132_L001,Acer246
Acer247_S144_L001,Acer247
Acer248_S156_L001,Acer248
Acer249_S168_L001,Acer249
Acer24_S24_L001,Acer24
Acer250_S180_L001,Acer250
Acer251_S192_L001,Acer251
Acer252_S273_L001,Acer252
Acer253_S274_L001,Acer253
Acer254_S275_L001,Acer254
Acer255_S276_L001,Acer255
Acer256_S277_L001,Acer256
Acer257_S278_L001,Acer257
Acer258_S279_L001,Acer258
Acer259_S280_L001,Acer259
Acer25_S25_L001,Acer25
Acer260_S281_L001,Acer260
Acer261_S282_L001,Acer261
Acer262_S283_L001,Acer262
Acer263_S284_L001,Acer263
Acer264_S285_L001,Acer264
Acer265_S286_L001,Acer265
Acer266_S287_L001,Acer266
Acer267_S288_L001,Acer267
Acer268_S107_L001,Acer268
Acer269_S119_L001,Acer269
Acer26_S26_L001,Acer26
Acer270_S131_L001,Acer270
Acer271_S143_L001,Acer271
Acer272_S155_L001,Acer272
Acer272b_S300_L001,Acer272b
Acer273_S167_L001,Acer273
Acer274_S179_L001,Acer274
Acer275_S154_L001,Acer275
Acer276_S166_L001,Acer276
Acer277_S178_L001,Acer277
Acer279_S130_L001,Acer279
Acer27_S27_L001,Acer27
Acer28_S28_L001,Acer28
Acer29_S29_L001,Acer29
Acer2_S2_L001,Acer2
Acer30_S30_L001,Acer30
Acer31_S31_L001,Acer31
Acer32_S32_L001,Acer32
Acer339_S313_L001,Acer339
Acer33_S33_L001,Acer33
Acer340_S314_L001,Acer340
Acer341_S315_L001,Acer341
Acer343_S316_L001,Acer343
Acer345_S317_L001,Acer345
Acer346_S318_L001,Acer346
Acer34_S34_L001,Acer34
Acer350_S319_L001,Acer350
Acer355_S320_L001,Acer355
Acer356_S321_L001,Acer356
Acer357_S322_L001,Acer357
Acer358_S323_L001,Acer358
Acer35_S35_L001,Acer35
Acer362_S324_L001,Acer362
Acer364_S325_L001,Acer364
Acer365_S326_L001,Acer365
Acer366_S327_L001,Acer366
Acer367_S328_L001,Acer367
Acer369_S329_L001,Acer369
Acer36_S36_L001,Acer36
Acer370_S330_L001,Acer370
Acer372_S331_L001,Acer372
Acer373_S332_L001,Acer373
Acer37_S37_L001,Acer37
Acer38_S38_L001,Acer38
Acer395_S333_L001,Acer395
Acer398_S334_L001,Acer398
Acer39_S39_L001,Acer39
Acer3_S3_L001,Acer3
Acer402_S335_L001,Acer402
Acer406_S336_L001,Acer406
Acer40_S40_L001,Acer40
Acer410_S337_L001,Acer410
Acer413_S338_L001,Acer413
Acer414_S339_L001,Acer414
Acer415_S340_L001,Acer415
Acer416_S341_L001,Acer416
Acer419_S342_L001,Acer419
Acer41_S41_L001,Acer41
Acer42_S42_L001,Acer42
Acer43_S43_L001,Acer43
Acer44_S44_L001,Acer44
Acer45_S45_L001,Acer45
Acer46_S46_L001,Acer46
Acer47_S47_L001,Acer47
Acer48_S48_L001,Acer48
Acer49_S49_L001,Acer49
Acer4_S4_L001,Acer4
Acer504_S343_L001,Acer504
Acer506_S344_L001,Acer506
Acer508_S345_L001,Acer508
Acer50_S50_L001,Acer50
Acer513_S346_L001,Acer513
Acer515_S347_L001,Acer515
Acer51_S51_L001,Acer51
Acer528_S348_L001,Acer528
Acer52_S52_L001,Acer52
Acer534_S349_L001,Acer534
Acer538_S350_L001,Acer538
Acer53_S53_L001,Acer53
Acer547_S351_L001,Acer547
Acer548_S352_L001,Acer548
Acer54_S54_L001,Acer54
Acer553_S353_L001,Acer553
Acer554_S354_L001,Acer554
Acer555_S355_L001,Acer555
Acer556_S356_L001,Acer556
Acer557_S357_L001,Acer557
Acer558_S358_L001,Acer558
Acer559_S359_L001,Acer559
Acer55_S55_L001,Acer55
Acer565_S360_L001,Acer565
Acer569_S361_L001,Acer569
Acer56_S56_L001,Acer56
Acer572_S362_L001,Acer572
Acer575_S363_L001,Acer575
Acer576_S364_L001,Acer576
Acer57_S57_L001,Acer57
Acer581_S365_L001,Acer581
Acer584_S366_L001,Acer584
Acer58_S58_L001,Acer58
Acer590_S367_L001,Acer590
Acer591_S368_L001,Acer591
Acer594_S369_L001,Acer594
Acer595_S370_L001,Acer595
Acer596_S371_L001,Acer596
Acer59_S59_L001,Acer59
Acer5_S5_L001,Acer5
Acer607_S372_L001,Acer607
Acer60_S60_L001,Acer60
Acer61_S61_L001,Acer61
Acer62_S62_L001,Acer62
Acer63_S63_L001,Acer63
Acer64_S64_L001,Acer64
Acer65_S65_L001,Acer65
Acer66_S66_L001,Acer66
Acer67_S67_L001,Acer67
Acer67b_S293_L001,Acer67b
Acer67c_S294_L001,Acer67c
Acer68b_S289_L001,Acer68b
Acer68c_S295_L001,Acer68c
Acer69b_S296_L001,Acer69b
Acer6_S6_L001,Acer6
Acer70b_S297_L001,Acer70b
Acer71b_S298_L001,Acer71b
Acer72_S72_L001,Acer72
Acer73_S73_L001,Acer73
Acer74b_S299_L001,Acer74b
Acer75_S74_L001,Acer75
Acer76_S76_L001,Acer76
Acer77_S77_L001,Acer77
Acer78_S78_L001,Acer78
Acer79_S79_L001,Acer79
Acer7_S7_L001,Acer7
Acer80_S80_L001,Acer80
Acer81_S81_L001,Acer81
Acer82_S82_L001,Acer82
Acer83_S83_L001,Acer83
Acer84_S84_L001,Acer84
Acer85_S85_L001,Acer85
Acer86_S86_L001,Acer86
Acer87_S87_L001,Acer87
Acer88_S88_L001,Acer88
Acer89_S89_L001,Acer89
Acer8_S8_L001,Acer8
Acer90_S90_L001,Acer90
Acer91_S91_L001,Acer91
Acer92_S92_L001,Acer92
Acer93_S141_L001,Acer93
Acer94_S153_L001,Acer94
Acer95_S165_L001,Acer95
Acer96_S97_L001,Acer96
Acer97_S109_L001,Acer97
Acer98_S121_L001,Acer98
Acer99_S133_L001,Acer99
Acer9_S9_L001,Acer9
AcerDNAblankP1_S96_L001,AcerDNAblankP1
AcerMOCKP2_S190_L001,AcerMOCKP2
AcerMOCKP4_S291_L001,AcerMOCKP4
AcerMockP1_S95_L001,AcerMockP1
AcerMockP3_S193_L001,AcerMockP3
AcerNTCP2a_S106_L001,AcerNTCP2a
AcerNTCP3a_S194_L001,AcerNTCP3a
AcerNTCP3b_S195_L001,AcerNTCP3b
AcerNTCP4a_S290_L001,AcerNTCP4a
