sample_name,tube.id,type,duplicates,species,Swap,PCRplate
Acer346,346,sample,,Acer,Fresh,4
Acer350,350,sample,,Acer,Fresh,4
Acer355,355,sample,,Acer,Fresh,4
Acer356,356,sample,,Acer,Fresh,4
Acer357,357,sample,,Acer,Fresh,4
Acer358,358,sample,,Acer,Fresh,4
Acer362,362,sample,,Acer,Fresh,4
Acer364,364,sample,,Acer,Fresh,4
Acer365,365,sample,,Acer,Fresh,4
Acer366,366,sample,,Acer,Fresh,4
Acer367,367,sample,,Acer,Fresh,4
Acer369,369,sample,,Acer,Fresh,4
Acer370,370,sample,,Acer,Fresh,4
Acer372,372,sample,,Acer,Fresh,4
Acer373,373,sample,,Acer,Fresh,4
Acer395,395,sample,,Acer,Fresh,4
Acer398,398,sample,,Acer,Fresh,4
Acer402,402,sample,,Acer,Fresh,4
Acer406,406,sample,,Acer,Fresh,4
Acer410,410,sample,,Acer,Fresh,4
Acer413,413,sample,,Acer,Fresh,4
Acer414,414,sample,,Acer,Fresh,4
Acer415,415,sample,,Acer,Fresh,4
Acer416,416,sample,,Acer,Fresh,4
Acer419,419,sample,,Acer,Fresh,4
Acer504,504,sample,,Acer,Fresh,4
Acer506,506,sample,,Acer,Fresh,4
Acer508,508,sample,,Acer,Fresh,4
Acer513,513,sample,,Acer,Fresh,4
Acer515,515,sample,,Acer,Fresh,4
Acer528,528,sample,,Acer,Fresh,4
Acer534,534,sample,,Acer,Fresh,4
Acer538,538,sample,,Acer,Fresh,4
Acer547,547,sample,,Acer,Fresh,4
Acer548,548,sample,,Acer,Fresh,4
Acer553,553,sample,,Acer,Fresh,4
Acer554,554,sample,,Acer,Fresh,4
Acer555,555,sample,,Acer,Fresh,4
Acer556,556,sample,,Acer,Fresh,4
Acer557,557,sample,,Acer,Fresh,4
Acer558,558,sample,,Acer,Fresh,4
Acer559,559,sample,,Acer,Fresh,4
Acer565,565,sample,,Acer,Fresh,4
Acer569,569,sample,,Acer,Fresh,4
Acer572,572,sample,,Acer,Fresh,4
Acer575,575,sample,,Acer,Fresh,4
Acer576,576,sample,,Acer,Fresh,4
Acer581,581,sample,,Acer,Fresh,4
Acer584,584,sample,,Acer,Fresh,4
Acer590,590,sample,,Acer,Fresh,4
Acer591,591,sample,,Acer,Fresh,4
Acer594,594,sample,,Acer,Fresh,4
Acer595,595,sample,,Acer,Fresh,4
Acer596,596,sample,,Acer,Fresh,4
Acer607,607,sample,,Acer,Fresh,4
