Away.nursery,genet.ID,tube.id
NSU,Acerv 2,195
CRF,Acerv 2,214
Mote,Acerv 3,102
UM,Acerv 3,133
CRF,Acerv 3,213
Mote,Cheetos-b,49
UM,Cheetos-b,120
NSU,Cheetos-b,183
CRF,Cheetos-b,254
Mote,Coopers-A,90
UM,Coopers-A,174
CRF,Coopers-A,269
FWC,Coopers-A,17
Mote,Elkhorn,77
UM,Elkhorn,137
NSU,Elkhorn,186
CRF,Elkhorn,212
FWC,F-M-12,14
UM,F-M-12,160
FWC,F-M-13,26
UM,F-M-13,172
FWC,F-M-14,30
UM,F-M-14,108
CRF,F-M-19,274
FWC,F-M-19,20
UM,F-M-19,112
FWC,F-M-20,24
UM,F-M-20,157
FWC,F-M-21,21
UM,F-M-21,126
NSU,F-M-21,190
FWC,F-M-6,27
UM,F-M-6,147
FWC,F-M-9,23
UM,F-M-9,161
Mote,Kelsey's-1,69
UM,Kelsey's-1,168
CRF,Kelsey's-1,279
Mote,M-L-1,81
Mote,M-L-10,100
UM,M-L-10,159
CRF,M-L-10,241
Mote,M-L-13,64
UM,M-L-13,141
NSU,M-L-13,196
CRF,M-L-13,253
Mote,M-L-20,50
UM,M-L-20,110
NSU,M-L-20,191
CRF,M-L-20,247
Mote,M-L-29,2
Mote,M-L-3,101
Mote,M-L-31,76
Mote,M-L-34,85
Mote,M-L-36,31
UM,M-L-36,123
CRF,M-L-36,273
Mote,M-L-38,106
UM,M-L-38,176
CRF,M-L-38,217
Mote,M-L-4,96
UM,M-L-4,151
CRF,M-L-4,272
Mote,M-L-41,37
Mote,M-L-44,39
UM,M-L-44,138
Mote,M-L-46,65
UM,M-L-46,114
CRF,M-L-46,240
FWC,M-L-47,13
UM,M-L-47,166
CRF,M-L-47,221
Mote,M-L-48,34
UM,M-L-48,143
CRF,M-L-48,278
Mote,M-L-5,11
Mote,M-L-50,72
Mote,M-L-51,55
UM,M-L-51,121
NSU,M-L-51,194
CRF,M-L-51,242
Mote,M-L-54,75
UM,M-L-54,167
CRF,M-L-54,259
Mote,M-L-55,56
Mote,M-L-56,92
UM,M-L-56,150
CRF,M-L-56,251
Mote,M-L-57,91
Mote,M-L-58,41
UM,M-L-58,139
CRF,M-L-58,256
Mote,M-L-6,43
Mote,M-L-6,107
Mote,M-L-62,105
FWC,M-L-63,15
UM,M-L-63,109
CRF,M-L-63,228
Mote,M-L-7,86
Mote,M-L-70,94
UM,M-L-70,144
CRF,M-L-70,268
FWC,M-L-75,12
Mote,M-L-75,47
UM,M-L-75,169
CRF,M-L-75,225
Mote,M-L-76,95
UM,M-L-76,178
CRF,M-L-76,233
Mote,M-L-77,3
UM,M-L-77,171
CRF,M-L-77,277
Mote,M-L-78,1
UM,M-L-78,177
CRF,M-L-78,227
Mote,M-L-79,98
UM,M-L-79,180
CRF,M-L-79,261
Mote,M-L-8,53
UM,M-L-8,154
CRF,M-L-8,270
Mote,M-L-80,80
UM,M-L-80,140
CRF,M-L-80,234
Mote,M-L-84,88
Mote,M-L-88,58
UM,M-L-88,117
CRF,M-L-88,244
Mote,M-L-89,7
Mote,M-L-90,52
Mote,Marker 9,54
UM,Marker 9,130
CRF,Marker 9,237
UM,Miami Beach-D,113
CRF,Miami Beach-D,207
Mote,MiamiBeach-D,61
Mote,North Midchannel-A,45
UM,North Midchannel-A,131
Mote,Stagreef-A,48
UM,Stagreef-A,119
NSU,Stagreef-A,182
CRF,Stagreef-A,236
Mote,Steph's-A,59
CRF,Steph's-A,215
UM,Steph's-A,146
FWC,Sunny Isles-C,19
Mote,Sunny Isles-C,99
UM,Sunny Isles-C,142
NSU,Sunny Isles-C,197
CRF,Sunny Isles-C,243
UM,T-DT-1,118
CRF,T-DT-1,235
FWC,T-DT-2,16
UM,T-DT-2,162
CRF,T-DT-2,220
Mote,Thicket 3,4
UM,Thicket 3,158
CRF,Thicket 3,271
Mote,Yung's-A,83
UM,Yung's-A,127
CRF,Yung's-A,255
