OTU,Size,Domain,Phylum,Class,Order,Family,Genus
Otu0111,73,Bacteria,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified
Otu0112,23,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia_(SAR406_clade)_fa,Marinimicrobia_(SAR406_clade)_ge
Otu0113,26,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified
Otu0115,120,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
Otu0116,52,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
Otu0118,34,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group
Otu0119,49,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
Otu0120,26,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade_fa,SAR86_clade_ge
Otu0121,24,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured
Otu0124,14,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified
Otu0126,6,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Midichloriaceae,MD3-55
Otu0127,19,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified
Otu0129,65,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu0131,21,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge
Otu0132,8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,HIMB11
Otu0134,18,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
Otu0135,42,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,uncultured
Otu0136,15,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307
Otu0137,18,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified
Otu0139,23,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
Otu0140,23,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_III,Clade_III_ge
Otu0141,29,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,Francisellaceae_unclassified
Otu0142,14,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,SAR116_clade_ge
Otu0143,10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified
Otu0144,35,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
Otu0145,12,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group
Otu0146,220,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
Otu0148,9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Otu0150,14,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade_fa,SAR86_clade_ge
Otu0151,24,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis
Otu0153,12,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cytophagales_unclassified,Cytophagales_unclassified
Otu0155,27,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
Otu0156,83,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrionaceae_unclassified
Otu0157,23,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Otu0158,4,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,Bradymonadales_fa,Bradymonadales_ge
Otu0159,14,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Otu0160,18,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5)_clade
Otu0161,29,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
Otu0163,29,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Coraliomargarita
Otu0164,14,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge
Otu0165,11,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,Francisella
Otu0167,35,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Otu0168,22,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Thalassolituus
Otu0170,16,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alishewanella
Otu0171,33,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Peptoniphilus
Otu0172,5,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_CC9902
