genet.ID,Away.nursery,Home.nursery,tube.id,sample_name,type,duplicates,species,Swap,PCRplate,Other.name,Collection.Site,Latitude,Longitude,Collected.by,Collection.date,Collection.permit,frag.id,ed50
5a,Mote,NSU,84,Acer84,sample,,Acer,Frozen,1,n/a,Nearshore Broward County,26.16320038,-80.09049988,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,5a NSU Mote Frozen,36.19624508
5a,NSU,NSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.47085755
5a,UM,NSU,373,Acer373,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.16320038,-80.09049988,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,5a NSU UM Fresh,36.50031542
5a,UM,NSU,116,Acer116,sample,,Acer,Frozen,2,n/a,Nearshore Broward County,26.16320038,-80.09049988,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,5a NSU UM Frozen,36.50031542
6a,Mote,NSU,78,Acer78,sample,,Acer,Frozen,1,n/a,Nearshore Broward County,26.1067009,-80.09670258,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,6a NSU Mote Frozen,35.68130459
6a,Mote,NSU,572,Acer572,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.1067009,-80.09670258,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,6a NSU Mote Fresh,35.68130459
6a,UM,NSU,346,Acer346,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.1067009,-80.09670258,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,6a NSU UM Fresh,36.03747969
6a,UM,NSU,155,Acer155,sample,,Acer,Frozen,2,n/a,Nearshore Broward County,26.1067009,-80.09670258,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,6a NSU UM Frozen,36.03747969
6a,CRF,NSU,506,Acer506,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.1067009,-80.09670258,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,6a NSU CRF Fresh,36.07180388
6a,CRF,NSU,246,Acer246,sample,,Acer,Frozen,2,n/a,Nearshore Broward County,26.1067009,-80.09670258,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,6a NSU CRF Frozen,36.07180388
6a,NSU,NSU,200,Acer200,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.1067009,-80.09670258,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,6a NSU NSU Frozen,36.14137013
8a,CRF,NSU,229,Acer229,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.05719948,-80.10559845,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,8a NSU CRF Frozen,35.54038854
8a,CRF,NSU,235,Acer235R,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.05719948,-80.10559845,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,8a NSU CRF Fresh,35.54038854
8a,Mote,NSU,71,Acer71,sample,dup,Acer,Frozen,1,n/a,Nearshore Broward County,26.05719948,-80.10559845,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,8a NSU Mote Frozen,35.73214464
8a,Mote,NSU,565,Acer565,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.05719948,-80.10559845,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,8a NSU Mote Fresh,35.73214464
8a,Mote,NSU,71,Acer71b,sample,dup,Acer,Frozen,4,n/a,Nearshore Broward County,26.05719948,-80.10559845,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,8a NSU Mote Frozen,35.73214464
8a,UM,NSU,339,Acer339,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.05719948,-80.10559845,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,8a NSU UM Fresh,36.05869427
8a,UM,NSU,164,Acer164,sample,,Acer,Frozen,2,n/a,Nearshore Broward County,26.05719948,-80.10559845,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,8a NSU UM Frozen,36.05869427
8a,NSU,NSU,203,Acer203,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.05719948,-80.10559845,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,8a NSU NSU Frozen,36.32484255
9a,NSU,NSU,198,Acer198,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.02490044,-80.10420227,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,9a NSU NSU Frozen,35.8916934
9a,CRF,NSU,276,Acer276,sample,,Acer,Frozen,2,n/a,Nearshore Broward County,26.02490044,-80.10420227,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,9a NSU CRF Frozen,35.94848881
9a,Mote,NSU,35,Acer35,sample,,Acer,Frozen,1,n/a,Nearshore Broward County,26.02490044,-80.10420227,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,9a NSU Mote Frozen,36.27873867
9a,UM,NSU,179,Acer179,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.02490044,-80.10420227,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,9a NSU UM Frozen,36.60956074
Acer001,Mote,CRF,584,Acer584,sample,,Acer,Fresh,4,Acer1,White Bank North,25.20000076,-80.22000122,CRF,6/22/18,FKNMS-2011-159-A4,Acer001 CRF Mote Fresh,36.18983444
Acer001,Mote,CRF,66,Acer66,sample,,Acer,Frozen,1,Acer1,White Bank North,25.20000076,-80.22000122,CRF,6/22/18,FKNMS-2011-159-A4,Acer001 CRF Mote Frozen,36.18983444
Acer001,CRF,CRF,225,Acer225R,sample,,Acer,Fresh,4,Acer1,White Bank North,25.20000076,-80.22000122,CRF,6/22/18,FKNMS-2011-159-A4,Acer001 CRF CRF Fresh,36.25524708
Acer001,CRF,CRF,257,Acer257,sample,,Acer,Frozen,3,Acer1,White Bank North,25.20000076,-80.22000122,CRF,6/22/18,FKNMS-2011-159-A4,Acer001 CRF CRF Frozen,36.25524708
Acer001,UM,CRF,366,Acer366,sample,,Acer,Fresh,4,Acer1,White Bank North,25.20000076,-80.22000122,CRF,6/22/18,FKNMS-2011-159-A4,Acer001 CRF UM Fresh,NA
Acer002,FWC,CRF,22,Acer22,sample,,Acer,Frozen,1,Acer2,White Bank North,25.20000076,-80.22000122,CRF,6/22/18,FKNMS-2011-159-A4,Acer002 CRF FWC Frozen,NA
Acer002,Mote,CRF,103,Acer103,sample,,Acer,Frozen,2,Acer2,White Bank North,25.20000076,-80.22000122,CRF,6/22/18,FKNMS-2011-159-A4,Acer002 CRF Mote Frozen,NA
Acer014,FWC,CRF,32,Acer32,sample,,Acer,Frozen,1,u9,Patch Reef Near Davis Reef,24.55999947,-80.29000092,CRF,1/13/06,TNC FRRP Permit,Acer014 CRF FWC Frozen,35.55866293
Acer014,CRF,CRF,230,Acer230,sample,,Acer,Frozen,3,u9,Patch Reef Near Davis Reef,24.55999947,-80.29000092,CRF,1/13/06,TNC FRRP Permit,Acer014 CRF CRF Frozen,35.95608523
Acer014,NSU,CRF,201,Acer201,sample,,Acer,Frozen,3,u9,Patch Reef Near Davis Reef,24.55999947,-80.29000092,CRF,1/13/06,TNC FRRP Permit,Acer014 CRF NSU Frozen,35.96736622
Acer014,Mote,CRF,36,Acer36,sample,,Acer,Frozen,1,u9,Patch Reef Near Davis Reef,24.55999947,-80.29000092,CRF,1/13/06,TNC FRRP Permit,Acer014 CRF Mote Frozen,NA
Acer022,Mote,CRF,97,Acer97,sample,,Acer,Frozen,2,B9,Broward County,26.03000069,-80.05999756,NSU,12/4/07,Get from NOVA,Acer022 CRF Mote Frozen,NA
Acer030,CRF,CRF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.98516951
Acer030,Mote,CRF,82,Acer82,sample,,Acer,Frozen,1,M3,East Turtle Shoal off Grassy Key,24.42000008,-80.55999756,CRF,4/24/08,FKNMS-2008-006,Acer030 CRF Mote Frozen,35.62057238
Acer041,CRF,CRF,265,Acer265,sample,,Acer,Frozen,3,u34,Patch Reef just off Triangle Marker off Tavernier,25,-80.26999664,CRF,11/21/08,FKNMS-2008-006,Acer041 CRF CRF Frozen,35.56807564
Acer041,Mote,CRF,60,Acer60,sample,,Acer,Frozen,1,u34,Patch Reef just off Triangle Marker off Tavernier,25,-80.26999664,CRF,11/21/08,FKNMS-2008-006,Acer041 CRF Mote Frozen,35.78962807
Acer046,FWC,CRF,28,Acer28,sample,,Acer,Frozen,1,M7,Jeff's Patch,24.69766998,-80.95809937,FWC,3/18/10,FKNMS-2015-129-A2,Acer046 CRF FWC Frozen,NA
Acer049,CRF,CRF,275,Acer275,sample,,Acer,Frozen,2,u38,Pickles Rubble Zone,24.59000015,-80.25,CRF,5/7/10,FKNMS-2008-006,Acer049 CRF CRF Frozen,35.88664842
Acer049,Mote,CRF,8,Acer8,sample,,Acer,Frozen,1,u38,Pickles Rubble Zone,24.59000015,-80.25,CRF,5/7/10,FKNMS-2008-006,Acer049 CRF Mote Frozen,36.10820359
Acer057,CRF,CRF,217,Acer217R,sample,,Acer,Fresh,4,M8,Jeff's Patch,24.40999985,-80.56999969,FWC,Get from FWC,,Acer057 CRF CRF Fresh,NA
Acer057,FWC,CRF,18,Acer18,sample,,Acer,Frozen,1,M8,Jeff's Patch,24.40999985,-80.56999969,FWC,Get from FWC,,Acer057 CRF FWC Frozen,NA
Acer057,Mote,CRF,607,Acer607,sample,,Acer,Fresh,4,M8,Jeff's Patch,24.40999985,-80.56999969,FWC,Get from FWC,,Acer057 CRF Mote Fresh,NA
Acer057,Mote,CRF,57,Acer57,sample,,Acer,Frozen,1,M8,Jeff's Patch,24.40999985,-80.56999969,FWC,Get from FWC,,Acer057 CRF Mote Frozen,NA
Acer057,NSU,CRF,188,Acer188,sample,,Acer,Frozen,3,M8,Jeff's Patch,24.40999985,-80.56999969,FWC,Get from FWC,,Acer057 CRF NSU Frozen,NA
Acer057,UM,CRF,128,Acer128,sample,,Acer,Frozen,2,M8,Jeff's Patch,24.40999985,-80.56999969,FWC,Get from FWC,,Acer057 CRF UM Frozen,NA
Acer057,UM,CRF,356,Acer356,sample,,Acer,Fresh,4,M8,Jeff's Patch,24.40999985,-80.56999969,FWC,Get from FWC,,Acer057 CRF UM Fresh,NA
Acer060,Mote,CRF,40,Acer40,sample,,Acer,Frozen,1,u17,Patch Reef inside Molasses Trench area,25,-80.25,CRF,4/1/10,FKNMS-2011-150,Acer060 CRF Mote Frozen,36.08119991
Acer060,CRF,CRF,245,Acer245,sample,,Acer,Frozen,2,u17,Patch Reef inside Molasses Trench area,25,-80.25,CRF,4/1/10,FKNMS-2011-150,Acer060 CRF CRF Frozen,36.22973893
Acer061,CRF,CRF,264,Acer264,sample,,Acer,Frozen,3,u21,Patch Reef inside Molasses Trench area,25,-80.25,CRF,4/1/10,FKNMS-2011-150,Acer061 CRF CRF Frozen,35.63644903
Acer061,NSU,CRF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.07601391
Acer061,Mote,CRF,70,Acer70b,sample,dup,Acer,Frozen,4,u21,Patch Reef inside Molasses Trench area,25,-80.25,CRF,4/1/10,FKNMS-2011-150,Acer061 CRF Mote Frozen,36.1787595
