"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"Acer255_S276_L001"	"37598 (7360 uniques)"	"37445 (28 uniques)"	"37217 (21 uniques)"
"Acer256_S277_L001"	"90533 (17591 uniques)"	"90249 (60 uniques)"	"90008 (62 uniques)"
"Acer257_S278_L001"	"31548 (6422 uniques)"	"31416 (21 uniques)"	"31269 (15 uniques)"
"Acer258_S279_L001"	"42357 (8704 uniques)"	"42185 (41 uniques)"	"41897 (26 uniques)"
"Acer259_S280_L001"	"56400 (10779 uniques)"	"56180 (28 uniques)"	"55901 (21 uniques)"
"Acer25_S25_L001"	"4597 (818 uniques)"	"4562 (10 uniques)"	"4545 (8 uniques)"
"Acer260_S281_L001"	"27937 (5533 uniques)"	"27821 (19 uniques)"	"27710 (14 uniques)"
"Acer261_S282_L001"	"57300 (10860 uniques)"	"57115 (43 uniques)"	"56817 (33 uniques)"
"Acer262_S283_L001"	"56210 (10894 uniques)"	"56004 (41 uniques)"	"55770 (34 uniques)"
"Acer263_S284_L001"	"52475 (9621 uniques)"	"52240 (34 uniques)"	"52005 (27 uniques)"
"Acer264_S285_L001"	"24344 (9252 uniques)"	"24214 (60 uniques)"	"24001 (37 uniques)"
"Acer265_S286_L001"	"34324 (11790 uniques)"	"34137 (74 uniques)"	"33842 (55 uniques)"
"Acer266_S287_L001"	"17408 (4262 uniques)"	"17298 (16 uniques)"	"17259 (14 uniques)"
"Acer267_S288_L001"	"42234 (8678 uniques)"	"42085 (25 uniques)"	"41827 (22 uniques)"
"Acer268_S107_L001"	"49775 (5774 uniques)"	"49618 (60 uniques)"	"49373 (47 uniques)"
"Acer269_S119_L001"	"9212 (1431 uniques)"	"9115 (16 uniques)"	"9059 (6 uniques)"
"Acer26_S26_L001"	"7592 (1349 uniques)"	"7528 (19 uniques)"	"7472 (14 uniques)"
"Acer270_S131_L001"	"45551 (6694 uniques)"	"45427 (53 uniques)"	"45238 (48 uniques)"
"Acer271_S143_L001"	"18912 (3210 uniques)"	"18784 (51 uniques)"	"18645 (40 uniques)"
"Acer272_S155_L001"	"62 (19 uniques)"	"56 (2 uniques)"	"52 (1 uniques)"
"Acer272b_S300_L001"	"22714 (4935 uniques)"	"22634 (43 uniques)"	"22433 (36 uniques)"
"Acer273_S167_L001"	"50734 (8908 uniques)"	"50505 (143 uniques)"	"49990 (119 uniques)"
"Acer274_S179_L001"	"57720 (7616 uniques)"	"57489 (87 uniques)"	"57146 (69 uniques)"
"Acer275_S154_L001"	"13877 (2595 uniques)"	"13768 (37 uniques)"	"13653 (26 uniques)"
"Acer276_S166_L001"	"29261 (4247 uniques)"	"29151 (86 uniques)"	"28845 (61 uniques)"
"Acer277_S178_L001"	"51491 (7163 uniques)"	"51307 (83 uniques)"	"50919 (65 uniques)"
"Acer279_S130_L001"	"55250 (7227 uniques)"	"55024 (98 uniques)"	"54690 (78 uniques)"
"Acer27_S27_L001"	"7024 (992 uniques)"	"6976 (34 uniques)"	"6907 (21 uniques)"
"Acer28_S28_L001"	"10252 (1346 uniques)"	"10191 (31 uniques)"	"10134 (20 uniques)"
"Acer29_S29_L001"	"13102 (2482 uniques)"	"13042 (29 uniques)"	"12916 (24 uniques)"
"Acer2_S2_L001"	"13136 (1590 uniques)"	"13072 (24 uniques)"	"12994 (17 uniques)"
"Acer30_S30_L001"	"3468 (743 uniques)"	"3442 (14 uniques)"	"3414 (11 uniques)"
"Acer31_S31_L001"	"1281 (412 uniques)"	"1228 (32 uniques)"	"1176 (22 uniques)"
"Acer32_S32_L001"	"10569 (1501 uniques)"	"10494 (17 uniques)"	"10439 (11 uniques)"
"Acer339_S313_L001"	"99372 (11533 uniques)"	"99118 (67 uniques)"	"98688 (55 uniques)"
"Acer33_S33_L001"	"1099 (293 uniques)"	"1079 (19 uniques)"	"1040 (9 uniques)"
"Acer340_S314_L001"	"73349 (9029 uniques)"	"73106 (126 uniques)"	"72725 (105 uniques)"
"Acer341_S315_L001"	"180029 (22482 uniques)"	"179627 (127 uniques)"	"177034 (124 uniques)"
"Acer343_S316_L001"	"98422 (12961 uniques)"	"98026 (225 uniques)"	"97291 (198 uniques)"
"Acer345_S317_L001"	"111330 (13867 uniques)"	"110978 (100 uniques)"	"110434 (94 uniques)"
"Acer346_S318_L001"	"60684 (6949 uniques)"	"60488 (82 uniques)"	"60198 (57 uniques)"
"Acer34_S34_L001"	"5465 (1010 uniques)"	"5415 (27 uniques)"	"5314 (16 uniques)"
"Acer350_S319_L001"	"68448 (9104 uniques)"	"68216 (98 uniques)"	"67666 (72 uniques)"
